timestamp,scan_type,market_a,market_b,price_a,price_b,combined,profit_pct,liquidity,action,notes
2026-03-27T18:00:00Z,intra-market,Netanyahu YES+NO,n/a,0.007,0.994,1.001,0,high,SKIP,No arb - efficient pricing
2026-03-27T18:00:00Z,intra-market,Iranian Regime YES+NO,n/a,0.008,0.993,1.001,0,high,SKIP,No arb - efficient pricing
2026-03-27T18:00:00Z,intra-market,Jesus Christ YES+NO,n/a,0.039,0.962,1.001,0,high,SKIP,No arb - efficient pricing
2026-03-27T18:00:00Z,intra-market,Greenland YES+NO,n/a,0.093,0.908,1.001,0,high,SKIP,No arb - efficient pricing
2026-03-27T18:00:00Z,intra-market,Russia-Ukraine Ceasefire YES+NO,n/a,0.005,0.996,1.001,0,high,SKIP,No arb - efficient pricing
2026-03-27T18:00:00Z,intra-market,US forces Iran YES+NO,n/a,0.17,0.84,1.01,0,high,SKIP,No arb - 1% excess
2026-03-27T18:00:00Z,intra-market,Fed rate cut YES+NO,n/a,0.005,0.996,1.001,0,high,SKIP,No arb - efficient pricing
2026-03-27T18:00:00Z,intra-market,Falcons PARIVISION YES+NO,n/a,0.45,0.57,1.02,0,medium,SKIP,No arb - 2% excess
2026-03-27T18:00:00Z,intra-market,Hawks Celtics YES+NO,n/a,0.35,0.66,1.01,0,high,SKIP,No arb - 1% excess
2026-03-27T18:00:00Z,cross-market,Starmer timeline,n/a,n/a,n/a,n/a,0,n/a,SKIP,Consistent pricing (later dates > earlier)
2026-03-27T18:00:00Z,cross-market,BTC 150k timeline,n/a,n/a,n/a,n/a,0,n/a,SKIP,Consistent pricing (later dates > earlier)
2026-03-27T18:00:00Z,dispute,MicroStrategy BTC 2025,n/a,0.001,n/a,n/a,0,none,SKIP,In dispute - no liquidity
2026-03-27T23:50:00Z,intra-market,Netanyahu Mar31 YES+NO,n/a,0.007,0.994,1.001,0,high,SKIP,No arb - efficient pricing
2026-03-27T23:50:00Z,intra-market,Iran Regime Mar31 YES+NO,n/a,0.006,0.995,1.001,0,high,SKIP,No arb - efficient pricing
2026-03-27T23:50:00Z,intra-market,US-Iran Ceasefire Mar31 YES+NO,n/a,0.037,0.964,1.001,0,high,SKIP,No arb - efficient pricing
2026-03-27T23:50:00Z,intra-market,Jesus Christ 2027 YES+NO,n/a,0.039,0.962,1.001,0,high,SKIP,No arb - efficient pricing
2026-03-27T23:50:00Z,intra-market,Russia-Ukraine Mar31 YES+NO,n/a,0.005,0.997,1.002,0,high,SKIP,No arb - efficient pricing
2026-03-27T23:50:00Z,intra-market,Trump Greenland 2027 YES+NO,n/a,0.092,0.91,1.002,0,high,SKIP,No arb - efficient pricing
2026-03-27T23:50:00Z,intra-market,Spain World Cup YES+NO,n/a,0.159,0.842,1.001,0,high,SKIP,No arb - efficient pricing
2026-03-27T23:50:00Z,cross-market,BTC Mar price levels,n/a,n/a,n/a,n/a,0,n/a,SKIP,Consistent hierarchy - lower thresholds have higher prob
2026-03-27T23:50:00Z,cross-market,Crude Oil Mar levels,n/a,n/a,n/a,n/a,0,n/a,SKIP,Consistent hierarchy - lower thresholds have higher prob
2026-03-27T23:50:00Z,multi-outcome,Dem 2028 Nominee (128 mkts),sum=0.927,n/a,n/a,0.927,-7.3%,high,SKIP,Sum<1 implies slight underpricing but neg-risk managed
2026-03-27T23:50:00Z,multi-outcome,World Cup 2026 (60 mkts),sum=1.007,n/a,n/a,1.007,0.7%,high,SKIP,Sum>1 by 0.7% - neg-risk absorbs excess
2026-03-27T23:50:00Z,multi-outcome,NBA 2026 Champion (30 mkts),sum=1.020,n/a,n/a,1.020,2%,high,SKIP,Sum>1 by 2% - neg-risk absorbs excess
2026-03-27T23:50:00Z,dispute,None found,n/a,n/a,n/a,n/a,0,n/a,SKIP,No active disputes with trading opportunity
2026-03-28T06:00:00Z,intra-market,Oil $105 HIGH YES+NO,n/a,0.577,0.456,1.033,0,high,SKIP,No arb - 3.3% excess
2026-03-28T06:00:00Z,intra-market,Oil $110 HIGH YES+NO,n/a,0.296,0.716,1.012,0,high,SKIP,No arb - 1.2% excess
2026-03-28T06:00:00Z,intra-market,Oil $120 HIGH YES+NO,n/a,0.169,0.859,1.028,0,high,SKIP,No arb - 2.8% excess
2026-03-28T06:00:00Z,intra-market,Fed No Change YES+NO,n/a,0.966,0.035,1.001,0,high,SKIP,No arb - efficient pricing
2026-03-28T06:00:00Z,intra-market,JD Vance GOP Nom YES+NO,n/a,0.368,0.633,1.001,0,high,SKIP,No arb - efficient pricing
2026-03-28T06:00:00Z,intra-market,Arsenal UCL YES+NO,n/a,0.27,0.74,1.01,0,high,SKIP,No arb - 1% excess
2026-03-28T06:00:00Z,intra-market,Newsom Pres YES+NO,n/a,0.172,0.83,1.002,0,high,SKIP,No arb - efficient pricing
2026-03-28T06:00:00Z,intra-market,LAFC MLS Cup YES+NO,n/a,0.21,0.82,1.03,0,medium,SKIP,No arb - 3% excess
2026-03-28T06:00:00Z,intra-market,EdgeX FDV YES+NO,n/a,0.13,0.89,1.02,0,low,SKIP,No arb - 2% excess
2026-03-28T06:00:00Z,intra-market,Greenland YES+NO,n/a,0.17,0.85,1.02,0,medium,SKIP,No arb - 2% excess
2026-03-28T06:00:00Z,cross-market,BTC March thresholds,n/a,n/a,n/a,n/a,0,n/a,SKIP,Consistent - higher thresholds lower probability
2026-03-28T06:00:00Z,cross-market,Netanyahu timeline,n/a,n/a,n/a,n/a,0,n/a,SKIP,Consistent - later dates higher probability
2026-03-28T06:00:00Z,cross-market,US-Iran ceasefire timeline,n/a,n/a,n/a,n/a,0,n/a,SKIP,Consistent - later dates higher probability
2026-03-28T06:00:00Z,cross-market,US forces Iran timeline,n/a,n/a,n/a,n/a,0,n/a,SKIP,Consistent - later dates higher probability
2026-03-28T06:00:00Z,dispute,MicroStrategy BTC 2025,n/a,0.001,n/a,n/a,0,none,SKIP,Disputed - no liquidity
2026-03-28T06:00:00Z,dispute,Kraken IPO 2025,n/a,0.002,n/a,n/a,0,none,SKIP,In proposal - no liquidity
2026-03-28T06:00:00Z,dispute,Macron out 2025,n/a,0.001,n/a,n/a,0,none,SKIP,In proposal - no liquidity
2026-03-28T08:04:46-04:00,multi-outcome,Republican 2028 Nominee,N/A,143.3%,100%,143.3%,-43.3%,high,MONITOR,Total probability 143.3% vs expected 100% - overpriced by 43pp. Top: RFK Jr 49% + JD Vance 37% + Rubio 21% already = 107%. Requires shorting mechanism to exploit.
2026-03-28T08:04:46-04:00,multi-outcome,Democratic 2028 Nominee,N/A,92.8%,100%,92.8%,7.2%,high,MONITOR,Total probability 92.8% vs expected 100% - underpriced by 7.2pp. Potential value in buying YES basket. Top: Newsom 24.25%.
2026-03-28T08:05:01-04:00,multi-outcome,Colombia Presidential Election,N/A,150.3%,100%,150.3%,-50.3%,medium,MONITOR,LARGEST DEVIATION: Total probability 150.3% vs expected 100% - overpriced by 50.3pp. Requires shorting to exploit.
2026-03-28T08:05:01-04:00,multi-outcome,Elon Musk tweets April 2026,N/A,114.6%,100%,114.6%,-14.6%,high,MONITOR,Total probability 114.6% vs expected 100% - overpriced by 14.6pp.
2026-03-28T18:06:12Z,intra_market,top_20_liquid_markets,n/a,n/a,n/a,~1.001,0,high,no_action,All markets showing ~0.1% MM spread - no arb
2026-03-28T18:06:12Z,correlation,BTC_reach_170k_2026,BTC_reach_180k_2026,0.075,0.075,n/a,0,medium,no_action,Equal prices (7.5%) violates monotonicity but gap too small to exploit
2026-03-28T18:06:12Z,dispute,Trump_crypto_cap_gains_2027,n/a,0.065,0.935,n/a,n/a,305,monitor,YES at 6.5% while disputed - need to assess resolution direction
2026-03-28T18:06:12Z,dispute,US_Somaliland_June2026,n/a,0.166,0.834,n/a,n/a,109,monitor,YES at 16.6% while disputed
2026-03-28T18:06:12Z,delta_neutral,BTC_dip_60k_March,BTC_reach_80k_March,0.995,0.997,1.992,0.4,M+,no_action,Range trade costs .992 for .00 payout - negligible after fees
2026-03-29T00:04:41Z,scan-summary,top-50-markets,-,-,-,-,-,none,"No arb found. 50 markets scanned. All YES+NO >= 1.00. Markets efficient."
2026-03-29T06:04:17Z,intra_market,Dem_2028_batch,10_markets,YES+NO,~1.001-1.002,1.002,0%,high,SKIP,All efficient - Oprah/Whitmer/Raimondo/AOC/Buttigieg/Ossoff/etc
2026-03-29T06:04:17Z,intra_market,Mid_volume_batch,5_markets,YES+NO,~1.001-1.002,1.002,0%,medium,SKIP,Khanna/MTG/Eric_Trump/Hegseth/Massie all efficient
2026-03-29T06:04:17Z,correlation,MegaETH_FDV_tiers,8_markets,monotonic,correct,n/a,0%,high,SKIP,All tiers consistent (higher threshold = lower prob)
2026-03-29T06:04:17Z,correlation,Starmer_out_timeline,5_dates,monotonic,correct,n/a,0%,medium,SKIP,Later dates have higher prob as expected
2026-03-29T06:04:17Z,correlation,Russia_Kostyantynivka,6_dates,monotonic,correct,n/a,0%,medium,SKIP,Mar31 3% < Apr30 27.5% < Jun30 60% < Dec31 87.5%
